power,L_over_R_H,N_eff,sigma_0_eff,L_metres,L_over_l_P
2,2.604310856477006e-51,6.782435037163997e+20,3.839787395244955e-11,3.6460351990678084e-25,22558539333.63119
2,3.279893682192854e-51,1.0757702566488601e+21,3.0488793140740623e-11,4.591851155069996e-25,28410437431.407764
2,4.130729071659722e-51,1.7062922663454793e+21,2.4208801464633485e-11,5.783020700323611e-25,35780373148.56635
2,5.202279194625197e-51,2.7063708818830184e+21,1.9222343949420537e-11,7.283190872475275e-25,45062139776.676796
2,6.551799536917211e-51,4.2926077171948585e+21,1.526298224427247e-11,9.172519351684096e-25,56751684305.286575
2,8.251398197985649e-51,6.808557222172082e+21,1.2119158183932057e-11,1.155195747717991e-24,71473607055.693
2,1.0391888799112559e-50,1.0799135281312105e+22,9.622889729972838e-12,1.4548644318757582e-24,90014535569.92914
2,1.3087642872390086e-50,1.71286395955223e+22,7.640795288734667e-12,1.832270002134612e-24,113365156001.65889
2,1.6482701005216037e-50,2.7167943242734975e+22,6.066966813773694e-12,2.307578140730245e-24,142773147846.7349
2,2.0758469273370018e-50,4.3091404657344725e+22,4.817310885648245e-12,2.9061856982718025e-24,179809850442.64688
2,2.614341220150036e-50,6.834780015375578e+22,3.825055399396604e-12,3.66007770821005e-24,226454223387.40173
2,3.292526016907986e-50,1.0840727572015967e+23,3.037181771274509e-12,4.60953642367118e-24,285198587083.7943
2,4.14663835327273e-50,1.7194609632832376e+23,2.4115920290245497e-12,5.805293694581822e-24,359181793379.2515
2,5.222315494101872e-50,2.7272579119936484e+23,1.914859416535459e-12,7.311241691742621e-24,452356941927.0239
2,6.577033441658125e-50,4.325736889268932e+23,1.5204423223183302e-12,9.207846818321375e-24,569702603755.0619
2,8.283178015871422e-50,6.861103804261562e+23,1.2072660977271007e-12,1.1596449222219991e-23,717488838222.9283
2,1.043191260181858e-49,1.088248005319813e+24,9.58596988078362e-13,1.4604677642546013e-23,903612217289.1042
2,1.31380492274173e-49,1.7260833750204033e+24,7.611480081176265e-13,1.8393268918384223e-23,1138017758236.4307
2,1.65461832446672e-49,2.7377617996610554e+24,6.043689866194961e-13,2.3164656542534078e-23,1433230309730.462
2,2.0838419405125403e-49,4.34239723303907e+24,4.798828455070065e-13,2.9173787167175566e-23,1805023784438.4436
2,2.6244102152311267e-49,6.887528977809489e+24,3.81037992534994e-13,3.674174301323577e-23,2273263996908.642
2,3.305207004383181e-49,1.092439334182364e+25,3.025529108082658e-13,4.627289806136453e-23,2862970141553.4385
2,4.162608908631134e-49,1.7327312926215278e+25,2.402339547024244e-13,5.827652472083587e-23,3605651628043.5864
2,5.242428962312124e-49,2.7483061424888977e+25,1.9075127334848223e-13,7.339400547236974e-23,4540991704425.956
2,6.602364533430616e-49,4.359121743230248e+25,1.5146088873714398e-13,9.243310346802862e-23,5718967827974.46
2,8.315080232022388e-49,6.914055926496948e+25,1.2026342165032612e-13,1.1641112324831342e-22,7202522080260.442
2,1.0472090554055454e-48,1.0966468057233745e+26,9.549191680860103e-14,1.4660926775677634e-22,9070924313105.068
2,1.3188649719819131e-48,1.7394048143208525e+26,7.582277346385647e-14,1.8464109607746783e-22,11424007726346.883
2,1.6609909982560967e-48,2.758891096287785e+26,6.020502224575072e-14,2.325387397558535e-22,14387503194474.48
