# tc_Gyr ll dlnL_vs_LCDM max_abs_rank1_amp
1.253707987440919602e+01 2.489956252063911535e+01 0.000000000000000000e+00 2.570407049129521607e-61
1.300853701090570524e+01 2.489956252063911535e+01 0.000000000000000000e+00 2.490046690632452731e-61
1.349772330233941808e+01 2.489956252063911535e+01 0.000000000000000000e+00 2.414977098095491679e-61
1.400530545393219661e+01 2.489956252063911535e+01 0.000000000000000000e+00 2.344770614103376602e-61
1.453197524236895433e+01 2.489956252063911535e+01 0.000000000000000000e+00 2.279040624485479917e-61
1.507845045861050970e+01 2.489956252063911535e+01 0.000000000000000000e+00 2.217437047970915493e-61
1.564547588616095730e+01 2.489956252063911535e+01 0.000000000000000000e+00 2.159642378715579155e-61
1.623382431612278154e+01 2.489956252063911535e+01 0.000000000000000000e+00 2.105368207422906992e-61
1.684429760042315039e+01 2.489956252063911535e+01 0.000000000000000000e+00 2.054352157581389536e-61
1.747772774464680978e+01 2.489956252063911535e+01 0.000000000000000000e+00 2.006355182459282356e-61
1.813497804196495267e+01 2.489956252063911535e+01 0.000000000000000000e+00 1.961159176209857011e-61
1.881694424970555701e+01 2.489956252063911535e+01 0.000000000000000000e+00 1.918564858979135328e-61
1.952455581016861075e+01 2.489956252063911535e+01 0.000000000000000000e+00 1.878389901462768973e-61
2.025877711735017073e+01 2.489956252063911535e+01 0.000000000000000000e+00 1.840467259087237577e-61
2.102060883130158331e+01 2.489956252063911535e+01 0.000000000000000000e+00 1.804643690023799341e-61
2.181108924191515541e+01 2.489956252063911535e+01 0.000000000000000000e+00 1.770778434690599277e-61
2.263129568399525127e+01 2.489956252063911535e+01 0.000000000000000000e+00 1.738742037349922885e-61
2.348234600554271623e+01 2.489956252063911535e+01 0.000000000000000000e+00 1.708415292939737036e-61
2.436540009125461026e+01 2.489956252063911535e+01 0.000000000000000000e+00 1.679688304454913168e-61
2.528166144331495246e+01 2.489956252063911535e+01 0.000000000000000000e+00 1.652459638067438662e-61
2.623237882163118329e+01 2.489956252063911535e+01 0.000000000000000000e+00 1.626635564791178752e-61
2.721884794575174027e+01 2.489956252063911535e+01 0.000000000000000000e+00 1.602129378893317930e-61
2.824241326078429992e+01 2.489956252063911535e+01 0.000000000000000000e+00 1.578860784463356262e-61
2.930446976972138273e+01 2.489956252063911535e+01 0.000000000000000000e+00 1.556755342598462533e-61
3.040646493467062328e+01 2.489956252063911535e+01 0.000000000000000000e+00 1.535743972574006185e-61
3.154990064958082030e+01 2.489956252063911535e+01 0.000000000000000000e+00 1.515762501159566351e-61
3.273633528715240715e+01 2.489956252063911535e+01 0.000000000000000000e+00 1.496751254930251122e-61
3.396738582272202223e+01 2.489956252063911535e+01 0.000000000000000000e+00 1.478654691024718920e-61
3.524473003801580262e+01 2.489956252063911535e+01 0.000000000000000000e+00 1.461421062326981885e-61
3.657010880777485795e+01 2.489956252063911535e+01 0.000000000000000000e+00 1.445002113509083648e-61
3.794532847236934714e+01 2.489956252063911535e+01 0.000000000000000000e+00 1.429352804774883632e-61
